-0.015342,0.018818,0.021177
-0.033792,-0.012420,0.020840
-0.046983,0.028674,0.028484
-0.027336,0.019869,0.028417
-0.011119,0.019826,0.028038
-0.022279,0.019651,0.020998
-0.033190,0.010300,0.021221
-0.027483,0.000971,0.024719
-0.024746,0.017096,0.045690
-0.029789,0.013135,0.022322
-0.033758,-0.019944,0.020753
-0.029634,-0.029438,0.030632
-0.033980,-0.001524,0.020941
-0.032463,0.006784,0.021301
-0.033892,0.009905,0.021096
-0.025790,-0.009246,0.034835
-0.025583,-0.006755,0.034979
-0.009977,-0.030821,0.029111
-0.030414,-0.030173,0.030619
-0.029323,-0.002529,0.022405
-0.033526,-0.009260,0.020924
-0.030891,-0.023480,0.021198
-0.016080,-0.023247,0.040094
-0.027587,-0.024479,0.023855
-0.015768,0.019671,0.016903
-0.028726,0.008582,0.022936
-0.042146,-0.001137,0.045955
-0.020527,-0.016568,0.038851
-0.020062,-0.026439,0.040511
-0.029766,0.006554,0.022247
-0.027816,-0.004228,0.023877
-0.033173,0.006407,0.021176
-0.028035,-0.000020,0.027517
-0.023748,0.019861,0.022551
-0.029181,-0.013500,0.022347
-0.034128,0.000320,0.020939
-0.018060,-0.022512,0.039940
-0.027947,-0.010742,0.023419
-0.028009,0.017077,0.023883
-0.020649,0.019637,0.024016
-0.054091,0.019324,0.089902
-0.032051,0.011420,0.021428
-0.032049,0.010908,0.021422
-0.027243,-0.021463,0.030966
-0.025275,-0.024091,0.030480
-0.025770,-0.017615,0.034734
-0.025811,-0.019485,0.030232
-0.034369,-0.007696,0.020799
-0.023768,-0.031621,0.035616
-0.027672,-0.028195,0.023545
-0.034924,-0.024078,0.020671
-0.030299,-0.012032,0.021656
-0.012008,0.019613,0.029035
-0.029179,-0.009190,0.030882
-0.027446,-0.027797,0.026255
-0.011109,0.019897,0.025829
-0.025178,-0.005062,0.056986
-0.025153,0.009815,0.045665
-0.029417,-0.005383,0.022307
-0.024804,0.019969,0.023735
-0.020024,-0.040381,0.040311
-0.016872,0.018348,0.016317
-0.024430,-0.034709,0.035221
-0.029473,0.010738,0.022490
-0.025305,-0.033137,0.034775
-0.035676,0.024423,0.023176
-0.030030,-0.004235,0.021933
